yuzuk,orta,isaret,bas,serce,command
2931,3415,3328,3120,3493,3
2896,3403,3325,3110,3471,3
2849,3388,3295,3127,3481,3
2899,3396,3307,3177,3510,3
2931,3419,3334,3118,3493,3
2965,3442,3359,3112,3487,3
2987,3444,3357,3114,3497,3
2999,3453,3376,3110,3492,3
3063,3472,3394,3142,3526,3
3086,3479,3398,3198,3544,3
3109,3485,3405,3222,3551,3
3110,3481,3397,3246,3547,3
3117,3475,3387,3306,3541,3
3120,3475,3391,3269,3549,3
3062,3468,3371,3198,3517,3
3045,3462,3362,3172,3519,3
3038,3458,3352,3145,3506,3
3033,3457,3352,3129,3505,3
3031,3447,3351,3123,3502,3
3007,3452,3346,3095,3501,3
2999,3444,3339,3083,3491,3
2993,3442,3335,3078,3485,3
3001,3442,3353,3117,3495,3
3041,3456,3365,3177,3531,3
3065,3466,3380,3213,3549,3
3097,3466,3394,3233,3551,3
3115,3462,3388,3266,3564,3
3128,3460,3374,3279,3561,3
3105,3471,3369,3183,3542,3
2993,3437,3362,3029,3483,3
2905,3404,3308,3015,3444,3
2891,3415,3311,3032,3425,3
3042,3458,3366,3167,3496,3
3115,3467,3408,3232,3532,3
3133,3450,3382,3279,3575,3
3140,3459,3383,3295,3566,3
3145,3464,3380,3288,3562,3
3139,3460,3333,3280,3560,3
3139,3457,3363,3247,3532,3
3139,3457,3378,3265,3556,3
3136,3458,3383,3271,3550,3
3135,3458,3334,3268,3553,3
3135,3456,3381,3270,3549,3
3134,3461,3386,3271,3547,3
3133,3459,3378,3266,3547,3
3131,3457,3380,3266,3546,3
3133,3455,3379,3266,3547,3
3131,3453,3375,3265,3546,3
3133,3455,3375,3267,3543,3
3133,3446,3378,3258,3545,3
3131,3460,3374,3266,3542,3
3131,3476,3367,3260,3550,3
3131,3459,3375,3255,3539,3
3125,3461,3388,3261,3547,3
3124,3459,3374,3264,3548,3
3125,3456,3379,3258,3544,3
3127,3468,3393,3268,3549,3
3125,3456,3376,3257,3542,3
3125,3457,3379,3262,3535,3
3125,3429,3368,3244,4094,3
3125,3457,3382,3256,3540,3
3123,3456,3378,3260,3540,3
3125,3436,3375,3254,3531,3
3123,3455,3375,3255,3541,3
2275,2967,2584,2724,2413,4
2273,2973,2598,2733,2421,4
2274,2964,2574,2691,2410,4
2273,2973,2592,2724,2415,4
2273,2950,2579,2715,2419,4
